"","Query","Tax","Matching","MapQ","AS.max"
"830","0cb77de7-af9d-4178-b798-600e690522f5","Lactobacillus_paracasei",95.2674897119342,0,2494
"4222","416d0e06-b952-4629-8dde-6289b7c79f36","Lactobacillus_paracasei",94.8524365133837,0,2432
"4368","44517acc-17f4-4ced-a995-f3776c020470","Lactobacillus_rhamnosus",87.9662209711471,0,1790
"6807","6667518c-0d9a-411d-b68c-be36af6a7cff","Lactobacillus_fermentum",87.8723404255319,0,1734
"13762","cc176da4-00e9-465b-a8ef-5218bad32410","Lactobacillus_paracasei",91.5629322268326,0,2124
"14831","dcb7274d-ada4-4ea8-a28e-fc1bf671d1e6","Lactobacillus_paracasei",95.0232249502322,0,2522
"15874","ec45b280-8702-48ec-b6d6-3934f6e92de1","Lactobacillus_paracasei",92.1733053808526,0,2176
"16034","ef2acf78-91a7-4e45-94d8-ea89aefa559f","Lactobacillus_paracasei",88.5010266940452,0,1846
"16131","f0abd6a4-e055-4b56-869b-665d6487e902","Lactobacillus_fermentum",93.4347477982386,0,1996
"2","00022960-a063-413f-934b-d4bc06063479","Lactobacillus_casei",86.6579463701766,0,1794
"5","0013b0df-03d3-4884-be26-edc16432e067","Lactobacillus_fermentum",91.5181753385602,0,2094
"7","00286e3c-5e6a-4e0d-acf5-d8affb42dca1","Lactobacillus_casei",94.914089347079,0,2450
"9","002b724c-264c-4301-bfbb-e7a815ab069a","Lactobacillus_casei",92.6279863481229,0,2256
"14","0035383f-246f-42f9-a823-89c24c3a215f","Lactobacillus_fermentum",82.4807288016818,1,1342
"18","003772ca-5e99-42a4-9da7-67de38ca9e7f","Lactobacillus_casei",88.0920162381597,0,1856
"24","00424f4f-313d-4570-ab9f-3dca443f3563","Lactobacillus_fermentum",92.5220938137322,1,2242
"29","0047c5cf-8c3a-46db-81b1-fe3d2753b4a0","Lactobacillus_paracasei",91.8996415770609,1,2092
"31","00572197-40b7-4eb4-9390-7d3baa777cb0","Lactobacillus_casei",89.1008174386921,0,1952
"35","006b25ec-7883-474f-adb5-76078162236a","Lactobacillus_casei",93.8356164383562,0,2340
"37","00710138-bfb3-40b5-9c1e-be7c30ea78e0","Lactobacillus_casei",94.1055517477724,0,2376
"41","0073f490-6d6f-45ce-b18d-dd4dba644e1d","Lactobacillus_fermentum",86.2116040955631,0,1644
"47","0095ac58-8167-488b-bac4-3dfe0bbb0dc5","Lactobacillus_fermentum",89.0347997373605,1,1982
"53","009619bd-29cb-40f1-9e2d-e2fe9b944acb","Lactobacillus_paracasei",84.2380640941792,1,1536
"57","00b83f47-5b1d-4042-b852-a6c67e3ea619","Lactobacillus_salivarius",88.0607814761216,1,1704
"59","00b8b6b8-3212-418b-8e99-278b3ab63a36","Lactobacillus_casei",83.743842364532,0,1390
"67","00cf8007-1696-4045-aff7-ba08af083d57","Pediococcus_claussenii",80.4605722260991,0,1166
"72","00d9e3a8-3a51-4b3f-a480-b8ff08a70008","Lactobacillus_paracasei",91.0691003911343,0,2192
"75","00de84cb-94c0-4f9f-b808-0aa11b53d31d","Lactobacillus_fermentum",80.3320561941252,0,1254
"78","00eea578-1feb-46a6-8361-52adcfdc98c3","Lactobacillus_ginsenosidimutans",87.3260073260073,0,1662
"83","00f42555-c88b-427b-b6b4-2dd4d341b1d4","Lactobacillus_casei",88.2608695652174,1,1746
"87","012c8fb6-678c-43de-b5a7-9db207c63c20","Lactobacillus_casei",93.4201507882111,0,2308
"92","012dac24-99e8-47b8-b347-0caf2ed2b333","Lactobacillus_fermentum",79.9468791500664,0,1154
"95","01345647-838e-4c30-b5d3-1aed03532d44","Lactobacillus_casei",87.8829135466304,1,1808
"101","0148a6d3-9dec-40d0-9440-8f04c79c261d","Lactobacillus_fermentum",90.9470752089136,1,2062
"108","01502cd3-1f2d-43f7-b114-fb594c39c4c8","Lactobacillus_paracasei",92.3337856173677,1,2214
"111","0159e398-a286-4dfb-8c8a-f764df7a5c48","Lactobacillus_rhamnosus",86.0230547550432,1,1556
"116","015bd184-ce95-472a-8a2b-2134d65deecc","Lactobacillus_casei",87.716955941255,0,1830
"118","019c0051-f9e6-4788-acc0-fa68c2e8fbb7","Lactobacillus_casei",94.4979367262723,0,2404
"120","01c09e3f-ad72-45a8-a76e-39b962a778c4","Lactobacillus_casei",90.4825737265416,0,2052
"129","01c2fcb4-aafa-441a-ad53-939866217ad3","Lactobacillus_paracasei",88.3704735376045,1,1794
"132","01c65bcb-b2b3-430e-838c-8ccb656e1d00","Lactobacillus_buchneri",87.2408293460925,1,1500
"133","01de8189-63e4-4aaa-a26e-86eccbaa67ec","Lactobacillus_casei",81.8886539816772,1,1216
"136","01dfcb98-c60a-4159-98cb-df7a82401960","Lactobacillus_casei",94.5205479452055,0,2386
"141","01e328db-fbd3-46e5-8794-567cc84467fd","Lactobacillus_buchneri",83.7559972583962,1,1428
"145","01e68b0c-ca13-492a-9928-03838756afa7","Lactobacillus_buchneri",85.6028368794326,0,1562
"149","01ed73b1-9c26-4451-828d-30a77cfcb909","Lactobacillus_fermentum",87.3200822481152,0,1784
"155","01ef1abe-e34f-498d-b6cd-7bd113752f8a","Lactobacillus_fermentum",91.3934426229508,0,2124
"158","01f88512-591c-4911-882e-24025f4a3e57","Lactobacillus_casei",90.4406779661017,0,2062
"162","02094b91-3009-49e9-a0f8-15ffee8be6c0","Lactobacillus_salivarius",88.2986360373295,1,1764
"166","02171574-7a3f-4060-a7a9-a0830f5aee62","Lactobacillus_fermentum",86,1,1622
"172","021bb059-19d4-457b-a981-0c32b01e26a9","Lactobacillus_fermentum",90.9153475567791,1,2090
"178","024037d6-c4fd-4ba0-a842-6d170309760c","Lactobacillus_fermentum",87.1241830065359,0,1808
"182","02502640-4469-4ea4-9a73-d3ea6d926033","Lactobacillus_fermentum",94.77858559154,0,2522
"185","02640d78-2185-4503-9492-965dc8fc7081","Lactobacillus_casei",93.9207650273224,0,2366
"188","026fe9e0-56c2-4e15-b606-c222d9f5d510","Lactobacillus_casei",95.807560137457,0,2518
"192","0280e14b-dad2-4cee-83f4-105869454a90","Lactobacillus_casei",88.8135593220339,0,1916
"197","02a05a64-f7ea-40d2-8a7b-a588d3e340c0","Lactobacillus_casei",91.1583276216587,0,2094
"202","02a53baf-1171-4827-bc96-b888441896b1","Lactobacillus_fermentum",93.9166097060834,1,2338
"205","02b28324-537d-4fa1-ba5f-3738813ff9ba","Lactobacillus_casei",90.24064171123,0,2058
"208","02c1389d-20fb-4d79-b90f-fa8d7004c213","Lactobacillus_casei",91.581805838425,0,2170
"211","02d13f3a-a58a-49dd-93d3-9bcf3ca6565e","Lactobacillus_casei",86.2119013062409,0,1572
"215","02ddd8ac-259b-4e69-bfb5-9b587396fa17","Lactobacillus_casei",94.4291609353508,0,2382
"222","02f1f7ae-bc64-4cdd-92de-12f356d3500a","Lactobacillus_fermentum",90.498974709501,1,2046
"227","030465a2-8036-4889-8310-2e316d1ae333","Lactobacillus_fermentum",91.4707857622565,1,2182
"229","030d7dd0-cccf-4ff4-a235-4d718039554e","Lactobacillus_casei",90.0729927007299,0,1870
"233","03339e69-9fe5-4e20-993c-a0b656418205","Lactobacillus_casei",88.3296863603209,1,1744
"236","03417c09-878b-43ae-b5e8-9a68c77ad325","Lactobacillus_casei",93.5879945429741,0,2346
"239","0345d8d1-9aa3-48c9-9681-d1caabbd09e1","Lactobacillus_casei",90.9152086137281,0,2134
